Date,Product_Category,Units_Sold,Revenue
2019-09-26,Pain Relievers,489,3958.457824506488
2019-09-27,Pain Relievers,396,4143.762974625568
2019-09-28,Pain Relievers,696,3890.4187399410725
2019-09-29,Pain Relievers,503,8546.551459768727
2019-09-30,Pain Relievers,430,7784.582125488712
2019-10-01,Pain Relievers,521,9801.61781015612
2019-10-02,Pain Relievers,488,8341.39336808521
2019-10-03,Pain Relievers,477,7738.798084695076
2019-10-04,Pain Relievers,446,4708.458367674346
2019-10-05,Pain Relievers,442,5422.387391816472
2019-10-06,Pain Relievers,348,4154.431218215032
2019-10-07,Pain Relievers,636,10310.872749796037
2019-10-08,Pain Relievers,557,7060.06502887639
2019-10-09,Pain Relievers,531,6893.28391013824
2019-10-10,Pain Relievers,487,6325.769131453944
2019-10-11,Pain Relievers,404,3489.3712520264617
2019-10-12,Pain Relievers,424,2247.65281786634
2019-10-13,Pain Relievers,357,3509.73393169792
2019-10-14,Pain Relievers,435,2956.4479101206143
2019-10-15,Pain Relievers,391,7177.942501539484
2019-10-16,Pain Relievers,668,11247.49581084553
2019-10-17,Pain Relievers,588,7336.260194554286
2019-10-18,Pain Relievers,507,6997.926702548785
2019-10-19,Pain Relievers,413,6682.997542571924
2019-10-20,Pain Relievers,396,3665.628880444423
2019-10-21,Pain Relievers,480,5014.192534070173
2019-10-22,Pain Relievers,592,6122.138925972875
2019-10-23,Pain Relievers,690,13660.432825007338
2019-10-24,Pain Relievers,360,2349.6253521501803
2019-10-25,Pain Relievers,556,4054.845220797329
2019-10-26,Pain Relievers,434,3384.5513265740005
2019-10-27,Pain Relievers,451,4183.668816213875
2019-10-28,Pain Relievers,504,5622.600012041841
2019-10-29,Pain Relievers,416,8210.042569509704
2019-10-30,Pain Relievers,476,9302.018893586133
2019-10-31,Pain Relievers,409,7354.88621735957
2019-11-01,Pain Relievers,530,4008.5563197510232
2019-11-02,Pain Relievers,690,10370.457326217862
2019-11-03,Pain Relievers,611,8293.830298991632
2019-11-04,Pain Relievers,690,6347.783619383941
2019-11-05,Pain Relievers,520,5124.698043953101
2019-11-06,Pain Relievers,668,7602.873114936496
2019-11-07,Pain Relievers,404,2715.9111579195733
2019-11-08,Pain Relievers,605,8566.376885157815
2019-11-09,Pain Relievers,676,4945.237932880412
2019-11-10,Pain Relievers,400,4886.840611128905
2019-11-11,Pain Relievers,521,5235.562434085489
2019-11-12,Pain Relievers,605,4244.813193221192
2019-11-13,Pain Relievers,720,6350.11907144865
2019-11-14,Pain Relievers,530,8067.946641680238
2019-11-15,Pain Relievers,663,8004.825195131324
2019-11-16,Pain Relievers,772,8629.117785825369
2019-11-17,Pain Relievers,669,11680.265757149862
2019-11-18,Pain Relievers,575,11198.357104498671
2019-11-19,Pain Relievers,644,12284.368812891225
2019-11-20,Pain Relievers,527,4067.6473880395433
2019-11-21,Pain Relievers,610,8306.428985596192
2019-11-22,Pain Relievers,581,10241.53778944834
2019-11-23,Pain Relievers,640,5135.622272458348
2019-11-24,Pain Relievers,550,4100.161528642063
2019-11-25,Pain Relievers,647,9690.739026856623
2019-11-26,Pain Relievers,549,7052.443772973698
2019-11-27,Pain Relievers,704,7664.22033438303
2019-11-28,Pain Relievers,560,9659.435291561249
2019-11-29,Pain Relievers,355,4238.7698586906545
2019-11-30,Pain Relievers,479,4560.40002586936
2019-12-01,Pain Relievers,602,5106.88063717576
2019-12-02,Pain Relievers,801,14813.38849789394
2019-12-03,Pain Relievers,699,12999.360083463276
2019-12-04,Pain Relievers,334,4797.432359529101
2019-12-05,Pain Relievers,422,2991.5922199592414
2019-12-06,Pain Relievers,737,12462.948467383123
2019-12-07,Pain Relievers,675,12425.662403390945
2019-12-08,Pain Relievers,872,14674.851522816862
2019-12-09,Pain Relievers,544,4747.6713808860395
2019-12-10,Pain Relievers,498,8047.278805517897
2019-12-11,Pain Relievers,608,9993.623213955098
2019-12-12,Pain Relievers,542,9838.104626873024
2019-12-13,Pain Relievers,724,4821.46066333355
2019-12-14,Pain Relievers,538,9520.869994297562
2019-12-15,Pain Relievers,567,9615.997085955103
2019-12-16,Pain Relievers,482,3493.9029997316347
2019-12-17,Pain Relievers,690,10902.37815325187
2019-12-18,Pain Relievers,489,7147.817887213655
2019-12-19,Pain Relievers,649,5696.2638384591855
2019-12-20,Pain Relievers,825,8402.987919611003
2019-12-21,Pain Relievers,386,4605.013603099528
2019-12-22,Pain Relievers,779,14964.005823364061
2019-12-23,Pain Relievers,633,7968.413006008005
2019-12-24,Pain Relievers,464,6575.721478625149
2019-12-25,Pain Relievers,613,9470.704325548024
2019-12-26,Pain Relievers,687,12941.356123032032
2019-12-27,Pain Relievers,505,6890.38432826361
2019-12-28,Pain Relievers,656,9250.076056407303
2019-12-29,Pain Relievers,791,15041.26463023436
2019-12-30,Pain Relievers,538,10159.337899157685
2019-12-31,Pain Relievers,481,9510.629250513244
2020-01-01,Pain Relievers,584,10268.747237266383
2020-01-02,Pain Relievers,606,8404.693710921407
2020-01-03,Pain Relievers,731,8030.0646479359775
2020-01-04,Pain Relievers,581,9901.86780453167
2020-01-05,Pain Relievers,548,2778.0752290978357
2020-01-06,Pain Relievers,478,6243.126473064906
2020-01-07,Pain Relievers,401,7537.931532722754
2020-01-08,Pain Relievers,445,7147.820831132572
2020-01-09,Pain Relievers,444,5231.771486326115
2020-01-10,Pain Relievers,568,4040.101813635895
2020-01-11,Pain Relievers,419,3203.5922101916135
2020-01-12,Pain Relievers,276,5167.462030421933
2020-01-13,Pain Relievers,593,6188.4937326424515
2020-01-14,Pain Relievers,821,4266.258232885329
2020-01-15,Pain Relievers,735,10990.499526484235
2020-01-16,Pain Relievers,567,3560.898927008866
2020-01-17,Pain Relievers,467,9318.104134180861
2020-01-18,Pain Relievers,908,5453.581622030382
2020-01-19,Pain Relievers,607,9863.390082984513
2020-01-20,Pain Relievers,623,5032.029940304357
2020-01-21,Pain Relievers,582,4574.703801393809
2020-01-22,Pain Relievers,596,8029.679731367791
2020-01-23,Pain Relievers,534,3196.326201821102
2020-01-24,Pain Relievers,569,7320.670948710895
2020-01-25,Pain Relievers,780,9056.92413917727
2020-01-26,Pain Relievers,749,5489.124163031555
2020-01-27,Pain Relievers,351,2712.8516070576025
2020-01-28,Pain Relievers,431,6318.457047040237
2020-01-29,Pain Relievers,506,5632.292358634551
2020-01-30,Pain Relievers,712,3849.385199937204
2020-01-31,Pain Relievers,752,6263.845986603669
2020-02-01,Pain Relievers,686,3632.821433492407
2020-02-02,Pain Relievers,464,3044.595730612634
2020-02-03,Pain Relievers,537,7942.869898746851
2020-02-04,Pain Relievers,658,5640.864048931191
2020-02-05,Pain Relievers,571,9041.216271343721
2020-02-06,Pain Relievers,555,9898.673096984827
2020-02-07,Pain Relievers,556,8351.83003899919
2020-02-08,Pain Relievers,739,5967.250914684375
2020-02-09,Pain Relievers,671,3485.864360135558
2020-02-10,Pain Relievers,562,3530.836915103166
2020-02-11,Pain Relievers,639,7234.354317429093
2020-02-12,Pain Relievers,449,8257.143974103425
2020-02-13,Pain Relievers,537,4774.655756289061
2020-02-14,Pain Relievers,725,7754.154938819027
2020-02-15,Pain Relievers,413,5931.602484125385
2020-02-16,Pain Relievers,672,7486.869454087704
2020-02-17,Pain Relievers,350,3295.9452375950677
2020-02-18,Pain Relievers,803,15439.120082359177
2020-02-19,Pain Relievers,534,9626.428486942283
2020-02-20,Pain Relievers,647,7965.51977901153
2020-02-21,Pain Relievers,613,6974.838173594601
2020-02-22,Pain Relievers,618,3298.2904881274885
2020-02-23,Pain Relievers,636,9223.382217141445
2020-02-24,Pain Relievers,394,3494.116220910226
2020-02-25,Pain Relievers,620,12254.940280543035
2020-02-26,Pain Relievers,577,7434.848527829746
2020-02-27,Pain Relievers,535,2822.5851792934204
2020-02-28,Pain Relievers,506,9469.52794179419
2020-02-29,Pain Relievers,623,5676.04603732194
2020-03-01,Pain Relievers,402,5351.693355170234
2020-03-02,Pain Relievers,602,4873.984083998248
2020-03-03,Pain Relievers,547,2825.220774142832
2020-03-04,Pain Relievers,525,7354.07027591502
2020-03-05,Pain Relievers,598,8955.37897067991
2020-03-06,Pain Relievers,315,4026.886157461407
2020-03-07,Pain Relievers,372,2122.0700946048073
2020-03-08,Pain Relievers,551,3439.3309904011703
2020-03-09,Pain Relievers,427,5998.189261132216
2020-03-10,Pain Relievers,438,4086.717850583498
2020-03-11,Pain Relievers,359,3710.2975781637515
2020-03-12,Pain Relievers,402,5425.41998099029
2020-03-13,Pain Relievers,605,7345.157399956829
2020-03-14,Pain Relievers,549,8777.731220526412
2020-03-15,Pain Relievers,518,4260.08674165018
2020-03-16,Pain Relievers,442,5500.908218944197
2020-03-17,Pain Relievers,512,7143.753079681709
2020-03-18,Pain Relievers,614,4051.7699113620383
2020-03-19,Pain Relievers,429,2628.5116254699296
2020-03-20,Pain Relievers,496,7601.713829422356
2020-03-21,Pain Relievers,677,7800.671623521043
2020-03-22,Pain Relievers,570,9685.005765184771
2020-03-23,Pain Relievers,443,6831.258048827666
2020-03-24,Pain Relievers,562,5853.009951204426
2020-03-25,Pain Relievers,342,2179.8160361656332
2020-03-26,Pain Relievers,492,3826.281014829013
2020-03-27,Pain Relievers,562,7378.2249863995585
2020-03-28,Pain Relievers,538,9198.948463241899
2020-03-29,Pain Relievers,561,8348.662030870688
2020-03-30,Pain Relievers,583,5098.34673747358
2020-03-31,Pain Relievers,545,6726.0490777826735
2020-04-01,Pain Relievers,542,4178.077555885221
2020-04-02,Pain Relievers,520,7029.9727983105095
2020-04-03,Pain Relievers,391,7376.58368588335
2020-04-04,Pain Relievers,605,11837.353574875713
2020-04-05,Pain Relievers,496,8893.597323360493
2020-04-06,Pain Relievers,568,10035.5608755188
2020-04-07,Pain Relievers,593,3294.1829107943067
2020-04-08,Pain Relievers,448,6246.933583399396
2020-04-09,Pain Relievers,456,2806.3598991437907
2020-04-10,Pain Relievers,469,7243.391538302713
2020-04-11,Pain Relievers,625,3737.7156949900846
2020-04-12,Pain Relievers,410,3989.0355776582533
2020-04-13,Pain Relievers,644,6299.149178323794
2020-04-14,Pain Relievers,519,7467.564365562116
2020-04-15,Pain Relievers,526,4468.050255806171
2020-04-16,Pain Relievers,588,3155.2148933286653
2020-04-17,Pain Relievers,508,9695.69586266827
2020-04-18,Pain Relievers,606,10290.93961318262
2020-04-19,Pain Relievers,448,5464.764168442267
2020-04-20,Pain Relievers,640,9224.052446896352
2020-04-21,Pain Relievers,455,5150.761540541003
2020-04-22,Pain Relievers,645,10361.108767872525
2020-04-23,Pain Relievers,457,4715.934890627523
2020-04-24,Pain Relievers,471,4384.343476036087
2020-04-25,Pain Relievers,399,2246.9277399736256
2020-04-26,Pain Relievers,423,2228.4101158835106
2020-04-27,Pain Relievers,496,5339.390254868032
2020-04-28,Pain Relievers,523,7946.832932727133
2020-04-29,Pain Relievers,598,11464.24623995395
2020-04-30,Pain Relievers,478,5741.268835661566
2020-05-01,Pain Relievers,387,7688.73387472515
2020-05-02,Pain Relievers,538,4559.590630164389
2020-05-03,Pain Relievers,516,7283.882792362369
2020-05-04,Pain Relievers,549,6966.989888220948
2020-05-05,Pain Relievers,436,3621.9798073189468
2020-05-06,Pain Relievers,446,3477.2719737450625
2020-05-07,Pain Relievers,436,2558.291104724612
2020-05-08,Pain Relievers,618,12073.58138140532
2020-05-09,Pain Relievers,642,9912.67855185802
2020-05-10,Pain Relievers,442,3230.3298590332392
2020-05-11,Pain Relievers,444,3710.6253147186694
2020-05-12,Pain Relievers,563,7349.749001334878
2020-05-13,Pain Relievers,654,4167.485874871975
2020-05-14,Pain Relievers,679,12331.938885890422
2020-05-15,Pain Relievers,438,8029.074884739181
2020-05-16,Pain Relievers,461,8913.330110258745
2020-05-17,Pain Relievers,528,7829.516486661051
2020-05-18,Pain Relievers,533,7069.1046780200695
2020-05-19,Pain Relievers,482,5104.53797799903
2020-05-20,Pain Relievers,420,3736.4488376900554
2020-05-21,Pain Relievers,496,3082.9838463529004
2020-05-22,Pain Relievers,679,5637.565911858828
2020-05-23,Pain Relievers,448,7960.110462407725
2020-05-24,Pain Relievers,522,6486.997306519419
2020-05-25,Pain Relievers,752,13062.401295635684
2020-05-26,Pain Relievers,446,4556.843600865672
2020-05-27,Pain Relievers,568,5115.08086184347
2020-05-28,Pain Relievers,684,12434.743660003922
2020-05-29,Pain Relievers,559,9927.127798455218
2020-05-30,Pain Relievers,610,10985.74193878219
2020-05-31,Pain Relievers,582,8998.925860372845
2020-06-01,Pain Relievers,550,8361.161367022478
2020-06-02,Pain Relievers,638,4707.850857654716
2020-06-03,Pain Relievers,564,10272.166622822935
2020-06-04,Pain Relievers,483,4842.936099107483
2020-06-05,Pain Relievers,514,8302.448656008295
2020-06-06,Pain Relievers,536,9370.358790780245
2020-06-07,Pain Relievers,460,5801.52736294977
2020-06-08,Pain Relievers,519,7513.668307824763
2020-06-09,Pain Relievers,504,4484.1150728450475
2020-06-10,Pain Relievers,564,9417.492042978674
2020-06-11,Pain Relievers,716,4728.972061001533
2020-06-12,Pain Relievers,524,10189.117150331698
2020-06-13,Pain Relievers,657,6654.1501963112505
2020-06-14,Pain Relievers,560,3661.081715121706
2020-06-15,Pain Relievers,518,9872.265345827225
2020-06-16,Pain Relievers,455,4329.076344412021
2020-06-17,Pain Relievers,519,8108.119710103518
2020-06-18,Pain Relievers,513,5226.570123253002
2020-06-19,Pain Relievers,429,6140.5913568337155
2020-06-20,Pain Relievers,444,7270.03288488729
2020-06-21,Pain Relievers,537,2883.047612075646
2020-06-22,Pain Relievers,656,10003.626505808012
2020-06-23,Pain Relievers,493,5762.450513656055
2020-06-24,Pain Relievers,355,2646.2968478456387
2020-06-25,Pain Relievers,280,4738.200104749702
2020-06-26,Pain Relievers,397,2475.5791266423435
2020-06-27,Pain Relievers,570,8668.269032738797
2020-06-28,Pain Relievers,371,7146.555723923534
2020-06-29,Pain Relievers,587,4265.064737130827
2020-06-30,Pain Relievers,565,6382.189010948887
2020-07-01,Pain Relievers,490,7143.165715331029
2020-07-02,Pain Relievers,347,6856.603657630906
2020-07-03,Pain Relievers,430,4790.204340732028
2020-07-04,Pain Relievers,475,3893.3710161787185
2020-07-05,Pain Relievers,535,2924.8510151482037
2020-07-06,Pain Relievers,374,6719.0497816003635
2020-07-07,Pain Relievers,644,7791.207698640442
